_id,session,run,meanScore,maxScore,alpha,gamma,exploreRate,batchSize,bufferSize
647d3f81bf13ef8b3e14ebb6,2,94,21.77659574468085,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebb7,2,95,21.68421052631579,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebb8,2,96,21.6875,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebb9,2,97,21.63917525773196,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebba,2,98,21.693877551020407,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebbb,2,99,21.7979797979798,78,0.01,0.9,95.0,40,10000
647d3f81bf13ef8b3e14ebbc,2,100,21.71,78,0.01,0.9,95.0,40,10000
647d43127c9f21da1269297c,3,1,10,10,0.01,0.9,90.0,40,10000
647d43127c9f21da1269297d,3,2,11,12,0.01,0.9,90.0,40,10000
647d43127c9f21da1269297e,3,3,21.666666666666668,43,0.01,0.9,90.0,40,10000
647d43127c9f21da1269297f,3,4,21,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692980,3,5,19.2,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692981,3,6,18.5,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692982,3,7,18.857142857142858,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692983,3,8,18.75,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692984,3,9,17.88888888888889,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692985,3,10,17.5,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692986,3,11,19.181818181818183,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692987,3,12,19.083333333333332,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692988,3,13,18.384615384615383,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692989,3,14,18.928571428571427,43,0.01,0.9,90.0,40,10000
647d43127c9f21da1269298a,3,15,19.133333333333333,43,0.01,0.9,90.0,40,10000
647d43127c9f21da1269298b,3,16,19.25,43,0.01,0.9,90.0,40,10000
647d43127c9f21da1269298c,3,17,19.529411764705884,43,0.01,0.9,90.0,40,10000
647d43127c9f21da1269298d,3,18,19.77777777777778,43,0.01,0.9,90.0,40,10000
647d43127c9f21da1269298e,3,19,19.736842105263158,43,0.01,0.9,90.0,40,10000
647d43127c9f21da1269298f,3,20,19.45,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692990,3,21,19.523809523809526,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692991,3,22,19.227272727272727,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692992,3,23,19.17391304347826,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692993,3,24,19.375,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692994,3,25,19.12,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692995,3,26,19.153846153846153,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692996,3,27,18.814814814814813,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692997,3,28,18.821428571428573,43,0.01,0.9,90.0,40,10000
647d43127c9f21da12692998,3,29,18.655172413793103,43,0.01,0.9,90.0,40,10000
